question,answer
Does susceptibility of retinal ganglion cells to excitotoxicity depend on soma size and retinal eccentricity?,"Our results suggest that loss of retinal ganglion cells after N-methyl-D-aspartate or kainate administration affects distinct populations of retinal ganglion cells, dependent upon soma size and retinal location. The mechanism by which certain classes of cells survive or succumb to such insults has yet to be determined."
Do relative weight gain and obesity as a child predict metabolic syndrome as an adult?,We could not replicate the close association between low birth weight and the metabolic syndrome in adulthood as has been shown in some earlier studies. Obesity at the age of seven predicts the metabolic syndrome in adulthood.
Does a novel nonsense mutation in CACNA1A cause episodic ataxia and hemiplegia?,"A nonsense mutation in CACNA1A causes episodic ataxia and complaint of weakness, and may be associated with hemiplegia."
Do correlation between rCBF and speech perception in cochlear implant users?,It is suggested that the improvement of the auditory processing of speech in CI users with SPEAK strategy is accompanied by the recruitment of more neurons in the auditory association areas. The adult auditory cortices may still have plasticity or
Does visual function correlate with nerve fiber layer thickness in eyes affected by ocular hypertension?,"The variability of PERG, VEP, and SCS testing observed in eyes with ocular hypertension is associated with differences in NFL thickness (the thinner the layer, the worse the visual function)."
Does a cytotoxic phenotype predict clinical outcome in anaplastic large cell lymphomas?,"In primary biopsies of patients with ALCL, the presence of a cytotoxic phenotype is not related to clinical outcome of the disease."
Does topical pharyngeal anesthesia improve upper gastrointestinal endoscopy in conscious sedated patients?,"In patients undergoing diagnostic upper endoscopy using intravenous midazolam and meperidine, the use of topical pharyngeal anesthesia does not improve patient tolerance or procedure performance. Elimination of this agent in the performance of diagnostic upper endoscopy will save time and money without adversely affecting patient care or outcomes."
"Is pravastatin , an HMG-CoA reductase inhibitor , transported by rat organic anion transporting polypeptide , oatp2?",The cloned oatp2 was identified as the transporter responsible for the active hepatocellular pravastatin uptake.
Are multiple previous alcohol detoxifications associated with decreased medial temporal and paralimbic function in the postwithdrawal period?,"These studies are consistent with other studies comparing alcoholics and controls. They also suggest that on day 7 of detoxification, alcoholic subjects with multiple previous detoxifications have decreased visual cortex, medial temporal lobes, and anterior paralimbic blood flow, compared with those in their first detoxification. Further studies seem warranted to confirm these initial exploratory results."
Does childhood maltreatment increase risk for personality disorders during early adulthood?,Persons in the community who have experienced childhood abuse or neglect are considerably more likely than those who were not abused or neglected to have PDs and elevated PD symptom levels during early adulthood. Childhood abuse and neglect may contribute to the onset of some PDs.
Does intermittent perfusion protect the brain during deep hypothermic circulatory arrest?,"Intermittent perfusion during DHCA is clinically practical and results in normal cerebral metabolic and ultrastructural recovery. Furthermore, the correlation between brain structure and CMRO2 suggests that monitoring CMRO2 during the operation may be an outstanding way to investigate new strategies for neuroprotection designed to reduce cerebral damage in children undergoing correction of congenital cardiac defects."
Do diet fat and oral insulin-like growth factor influence the membrane fatty acid composition of suckling rat small intestine?,"The changes observed in C20:4n-6 levels in response to oral insulin-like growth factor-1, combined with the apparent trend of increased lactase activity with declining levels of C20:4n-6, may be of significance in the development of the small intestine in early life."
Is manganese absorption and retention by young women associated with serum ferritin concentration?,"These results show that iron status, as measured by serum ferritin concentration, is strongly associated with the amount of manganese absorbed from a meal by young women. When greater amounts of manganese are absorbed, the body may compensate by excreting manganese more quickly."
Does chronic subthalamic nucleus stimulation reduce medication requirements in Parkinson 's disease?,"Parkinsonian signs can be controlled by bilateral high-frequency STN stimulation. The procedure is well tolerated. On-state dyskinesias were greatly reduced, probably due to the reduction of total antiparkinsonian medication. Bilateral high-frequency STN stimulation compensated for drug reduction and elicited dyskinesias, which differ from those observed following dopaminergic medication. ADL improved significantly, suggesting that some motor tasks performed during everyday chores, and that are not taken into account in the UPDRS motor score, also improved."
Is nitric oxide production in meningococcal disease directly related to disease severity?,Higher levels of nitrates and nitrites are seen in sicker children with meningococcal disease.
Does prolonged low-dose infusion of human parathyroid hormone increase femoral cancellous bone volume in ovariectomized rats?,These results support the absolute requirement of daily injections for the osteogenic action of hPTH on bone.
Does bypassing spermiogenesis for several generations have detrimental consequences on the fertility and neurobehavior of offspring : a study using the mouse?,"In this study, we found no evidence that bypassing the natural biological processes involved in spermiogenesis produces adverse effects on the growth, fertility, or behavior of mouse offspring."
Does latent class analysis permit unbiased estimates of the validity of DAT for the diagnosis of visceral leishmaniasis?,"LCA modelling proved a useful tool, as it gave consistent estimates of test characteristics and allowed for control of confounding factors and interaction effects. Since VL is a life-threatening disease for which expensive but effective and safe treatment exists, a clinical suspect in an endemic area should be treated on the basis of a positive DAT result."
Are serum and saliva levels of sialic acid elevated in alcoholics?,This study confirms that serum sialic acid is a valuable marker for detecting and monitoring alcohol abuse. This work also indicates that sialic acid in saliva could be used possibly as a noninvasive marker for alcohol abuse.
Is corpus gastritis protective against reflux oesophagitis?,"While infection with H pylori alone may not affect the occurrence of reflux oesophagitis, the development of chronic corpus gastritis seems to be protective."
Does shorter dosing interval of opiate solution shorten hospital stay for methadone babies?,Lower peak doses of TOS and shorter dosing intervals may be associated with shorter hospital stays for infants with neonatal abstinence syndrome secondary to maternal methadone treatment.
Do why patients attend cardiac rehabilitation : role of intentions and illness beliefs?,It should now be determined whether interventions aimed at optimising certain perceptions could promote cardiac rehabilitation uptake among those patients who could benefit the most.
Are smoking and alcohol abuse major risk factors for anastomotic leakage in colorectal surgery?,Smoking and alcohol abuse are important predictive factors for anastomotic leakage after colonic and rectal resection.
Do changes in collagenases and TGF-beta precede structural alterations in a model of chronic renal fibrosis?,The fibrosis that follows papillary necrosis is associated with both high TGF-beta1 expression and depressed gelatinolytic activity.
Does tGF-beta1 stimulate the release of pre-formed bFGF from renal proximal tubular cells?,The data presented suggest that the main mechanism by which TGF-beta1 stimulates bFGF generation by proximal tubular epithelial cells is by stimulation of the secretion of preformed cytokine from within the cells.
Does low-frequency component of body surface potential maps identify patients at risk for ventricular tachycardia?,Our results suggest that the bulk of diagnostic information associated with arrhythmogenicity resides in the low-frequency band of the power spectrum. This finding is at variance with the established notion that only the high-frequency component of signal-averaged electrocardiograms carries such information.
"Are tumor size , depth of invasion , and grading of the invasive tumor front the main prognostic factors in early squamous cell cervical carcinoma?","Clinical tumor size, depth of invasion, and grading of the invasive tumor front were the main predictors of prognosis in patients with stage IB squamous cell cancer of the cervix."
Does an advanced generation of adenoviral vectors selectively enhance gene transfer for ovarian cancer gene therapy approaches?,"This study demonstrates that genetically altered adenoviruses with modified tropism are capable of more efficient gene transfer in the context of ovarian cancer. The higher level of transfer with respect to peritoneal mesothelium can be exploited to enhance the therapeutic index of interventions using adenoviral vectors. Studies are warranted, therefore, to determine the in vivo utility of this targeted vector approach in the context of gene therapeutic strategies for cancer of the ovary."
Are strictures in Crohn 's disease characterised by an accumulation of mast cells colocalised with laminin but not with fibronectin or vitronectin?,The large accumulation of mast cells in the muscle layer of strictured bowel suggests a functional role for these cells in the hypertrophic and fibrotic response of the smooth muscle cells. The colocalisation with laminin indicates a mechanism of interaction between smooth muscle cells and mast cells that may be important in the role of mast cells in the process of fibrosis.
Does maternal zinc supplementation reduce diarrheal morbidity in peruvian infants?,Improving prenatal zinc nutrition protected against diarrheal morbidity in infant offspring through 12 months of age.
Does the internal state of medium spiny neurons vary in response to different input signals?,"Our study investigated the effects of various patterns of neurotransmission on signal integration and interpretation by DARPP-32 and showed that the DARPP-32 system has the capability of discerning surprisingly many neurotransmission scenarios. We also screened out potential mechanisms underlying this capability of the DARPP-32 system. This type of insight deepens our understanding of neuronal signal transduction in normal medium spiny neurons, sheds light on neurological disorders associated with the striatum, and might aid the search for intervention targets in neurological diseases and drug addiction."
Is type 2 diabetes mellitus associated with impaired cytokine response and adhesion molecule expression in human endotoxemia?,"Patients with type 2 diabetes exhibit an attenuated increase in plasma levels of TNF and IL-1ra, as well as an attenuated upregulation of VCAM-1 and ICAM-1 to LPS in vivo. This finding may provide a mechanistic explanation for the adverse outcome seen during infectious diseases in diabetic patients."
Does chronic treatment with an oral rho-kinase inhibitor restore erectile function by suppressing corporal apoptosis in diabetic rats?,"This study indicates that up-regulation of the penile RhoA/ROCK pathway in diabetic rats enhances corporal apoptosis via the PTEN/Akt pathway resulting in ED, which could be prevented by chronic treatment with fasudil."
Is rapid loss of appendicular skeletal muscle mass associated with higher all-cause mortality in older men : the prospective MINOS study?,"The accelerated loss of ASMM is predictive of all-cause mortality in older men regardless of age, BMI, lifestyle, physical performance, health status, body composition, and serum 17beta-estradiol and 25-hydroxycholecalciferol."
Do implant-supported single crowns predictably survive to five years with limited complications?,"From the presented data it may be concluded that 5-year survival of implant-supported single crowns is high, although biologic and mechanical complications are anticipated."
Are implant location and radiotherapy the only factors linked to 2-year implant failure?,"The authors concluded that late implant failure was influenced by the local factor ""implant location"" and the systemic factor ""radiotherapy."" Neither smoking nor systemic health factors were found to adversely influence implant integration from abutment connection through 2 years' performance."
Is physical activity during pregnancy associated with reduced fasting insulin -- the Pilot Pregnancy and Active Living Study?,Our findings suggest that increased total physical activity is associated with reduced fasting insulin levels in overweight or obese pregnant women.
Do women with multiple implantation failures and recurrent pregnancy losses have increased peripheral blood T cell activation?,"Women with MIFs or RPLs have increased T cell activation in peripheral blood lymphocytes, and T cell suppressor activation seems to be associated with decreased Th1 immunity. Further studies on T cell activation may elucidate molecular mechanisms controlling Th1 effectors."
Does narrow band imaging cystoscopy improve the detection of non-muscle-invasive bladder cancer?,"NBI cystoscopy improves the detection of primary and recurrent nonmuscle invasive bladder cancer over WLI. However, further validation of the technique with comparative studies is required."
Are language and motor skills impaired in infants with biliary atresia before transplantation?,Very young children with biliary atresia display a characteristic profile of early developmental deficits before transplantation. These findings suggest that early intervention and aggressive nutritional management should be the standard of care to minimize neurocognitive effects.
Is time for initial response to steroids a major prognostic factor in idiopathic nephrotic syndrome?,The interval from onset of steroid therapy to remission is an accurate early prognostic factor in INS.
Is maternal interleukin-6 ( -174 ) C/C polymorphism associated with chorioamnionitis and cystic periventricular leucomalacia of the preterm infant?,Frequencies of the IL-6 G(-174)C polymorphisms did not differ between groups. Subgroup analysis revealed an association of the CC genotype with CCA and cPVL in the preterm newborn.
Do determinants of frequency and longevity of hospital encounters ' data use?,"The usage of past patient information varied significantly according to patient age, type of information, type of hospital encounter and medical cause (main diagnosis) for the encounter. The exponential model is a good fit to model how the reports are seen over time, so the design of user interfaces and repository management algorithms should take it in consideration."
Is geographic access to care a determinant of child mortality in a rural Kenyan setting with high health facility density?,"Significant spatial variations in mortality were observed across the area, but were not correlated with distance to health facilities. We conclude that given the present density of health facilities in Kenya, geographic access to curative services does not influence population-level mortality."
Does alcohol slow the brain potential associated with cognitive reaction time to an omitted stimulus?,The similarity between alcohol effects on premotor reaction time and some parameters of the OSP supports the importance of examining how other environmental and pharmacological factors known to alter premotor reaction time might change components of the OSP and other types of event-related potentials.
Is aminoterminal propeptide of type III procollagen ( PIIINP ) associated with ascending aortic aneurysm growth rate?,Our results suggest that it may in the future be possible to monitor TAA growth by means of PIIINP levels.
Do dental implant outcomes may vary in patients with a history of periodontal disease?,"The authors suggest there is ""some evidence"" that patients treated for periodontitis may experience more implant loss and complications around implants than patients without periodontitis."
Are allelic variations in angiogenic pathway genes associated with preeclampsia?,Allelic variations in the fms-like tyrosine kinase 1 and vascular endothelial growth factor C genes are associated with preeclampsia in both ethnic groups.
Does gene expression profiling define the role of ATP-exposed keratinocytes in skin inflammation?,"These studies characterized (1) STAT3 activation, (2) chemotaxis for neutrophils via CXCL1-3, and (3) ATF3 activation as possible roles of ATP-stimulated keratinocytes in skin inflammation and immune response."
Is anal cancer maximum F-18 fluorodeoxyglucose uptake on positron emission tomography correlated with prognosis?,"SUV(max) is a valuable biomarker of anal cancer prognosis, predicting increased risk of lymph node metastasis and worse disease-free survival."
Does immunotherapy with a Phleum pratense allergen extract induce an immune response to a grass-mix allergen extract?,"Patients with rhinoconjunctivitis diagnosed using skin prick testing with a grass mix allergen extract and treated with a short course of SIT based on a single species P. pratense allergen extract are able to develop an immune response that targets not only the immunizing species, but also the grass mix allergen extract."
Does glycaemic status influence the nature and severity of coronary artery disease?,"Fasting blood glucose, HbA1c and the presence of diabetes are associated with the severity and progression of coronary atherosclerosis. These observations support the hypothesis that better glycaemic control may favourably influence CAD in patients with abnormal glucose tolerance or diabetes."
Is initial colony morphology-based selection for iPS cells derived from adult fibroblasts substantially improved by temporary UTF1-based selection?,Our data indicate that temporary selection using a genetic UTF1-based system can generate homogenous pluripotent iPS cells that can be maintained without permanent selection pressure.
Is a functional polymorphism in the disrupted-in schizophrenia 1 gene associated with chronic fatigue syndrome?,"DISC1 Ser704Cys might be a functional variant that affects one of the mechanisms implicated in the biology of CFS. Some patients with CFS showed a phenotype similar to that of patients with MDD, but further studies are needed to clarify the biological mechanism, because this study is of a rather preliminary nature. Despite the variety of patients with CFS, DISC1 Ser704Cys has an association with CFS, which may also suggest that DISC1 plays a central role in the induction of various psychiatric diseases."
Does polo-like kinase-1 regulate first cleavage of one-cell embryos in culture during assisted reproduction?,"The PLK1 plays a crucial role during the first cleavage of one-cell embryos, and the zygotes are unable to divide successfully without functional PLK1."
Does the fixation target influence the near deviation and AC/A ratio in intermittent exotropia?,"Through careful control of accommodation by ensuring relaxation with plus lenses to clear N5 print, we revealed increases in the AC/A ratio and unmasked deviations that would otherwise have been considered to be characteristic of true divergence excess. Simulated and true deviations are possibly part of a continuum and clinical delineation may be influenced by testing artefact."
Does transcriptomic analysis reveal differential gene expression in response to aluminium in common bean ( Phaseolus vulgaris ) genotypes?,"The expression of a citrate transporter MATE gene is crucial for citrate exudation in common bean. However, although the expression of the citrate transporter is a prerequisite for citrate exudation, genotypic Al resistance in common bean particularly depends on the capacity to sustain the synthesis of citrate for maintaining the cytosolic citrate pool that enables exudation."
Do rHOA and PRKCZ control different aspects of cell motility in pancreatic cancer metastatic clones?,"Herein, we demonstrate a critical role for RHOA and PRKCZ in the regulation of different aspects of cell motility of pancreatic adenocarcinoma and demonstrate the need to inhibit both pathways to obtain a functionally relevant effect in most assays. These results indicate that RHOA and PRKCZ, and their downstream effectors, can represent important pharmacological targets that could potentially control the highly metastatic attitude of PDAC."
Is lipid-lowering treatment related to decreased risk of dementia : a population-based study ( FINRISK )?,Preliminary results from the FINRISK study indicate that lipid-lowering drugs may have a beneficial effect in dementia prevention. Further data linkage is ongoing in order to investigate the roles of different types of lipid-lowering drugs.
Does nonobese population in a developing country have a high prevalence of nonalcoholic fatty liver and significant liver disease?,"There is a significant prevalence of NAFL and potentially significant liver disease, including cryptogenic cirrhosis, in this predominantly nonobese, nonaffluent population in a developing country. NAFL will be a major determinant of future liver disease burden in countries of the developing world."
Does serum ferritin concentration predict mortality in patients awaiting liver transplantation?,"Serum ferritin concentration is an independent predictor of mortality-related and liver-related clinical events. Baseline serum ferritin identifies a group of ""higher-risk"" patients awaiting OLT and should be investigated as an adjunct to MELD in organ allocation."
Does nationwide linkage analysis in Scotland implicate age as the critical overall determinant of mortality in ulcerative colitis?,"Hospital admission in UC patients >65 is associated with high mortality. Management strategies should consider this by treatment in specialist units, early investigation, focused medical treatment and earlier surgical referral."
Does fibroblast growth factor receptor 3-IIIc mediate colorectal cancer growth and migration?,Our data show that FGFR3-IIIc exerts oncogenic functions by mediating FGF18 effects in colorectal cancer and may constitute a promising new target for therapeutic interventions.
Does flexible modeling improve assessment of prognostic value of C-reactive protein in advanced non-small cell lung cancer?,Our analysis shows that flexible modeling provides new insights regarding the value of CRP as a prognostic factor in NSCLC and that Cox's PH model underestimates early risks associated with high CRP.
"Are impaired mobility , ASA status and administration of tramadol risk factors for postoperative delirium in patients aged 75 years or more after major abdominal surgery?","PD is a frequent and severe postoperative event in elderly patients after major abdominal surgery. A perioperative geriatric assessment should be recommended to patients with an American Society of Anesthesiologists status of 3-4 and preoperative impaired mobility to facilitate the management of PD. In these patients, the postoperative administration of tramadol should be avoided."
Does metabolomic analyses of plasma reveal new insights into asphyxia and resuscitation in pigs?,"This study provides a novel strategy and set of biomarkers. It provides biochemical in vivo data that resuscitation with 100% oxygen delays cellular recovery. In addition, the oxysterol increase raises concerns about the safety of 100% O(2) resuscitation. Our biomarkers can be used in a broad clinical setting for evaluation or the prediction of damage in conditions associated with low tissue oxygenation in both infancy and adulthood. These findings have to be validated in human trials."
Is elevated brain natriuretic peptide associated with abnormal heart geometry in children with chronic kidney disease?,BNP might predict an abnormal geometry in children with CKD.
Is the reproductive outcome of female patients with myotonic dystrophy type 1 ( DM1 ) undergoing PGD affected by the size of the expanded CTG repeat tract?,There is no evidence of an effect of trinucleotide repeat length on reproductive outcome in patients undergoing ICSI and PGD.
Does bispectral index correlate well with Richmond agitation sedation scale in mechanically ventilated critically ill patients?,Our results illustrate that BIS correlates well with RASS when assessing the level of sedation in mechanically ventilated critically ill patients. BIS reliably differentiates inadequate from adequate sedation.
Do depressive symptoms predict incident cognitive impairment in cognitive healthy older women?,"These data suggest that depression may be the risk factors for cognitive decline, and thus a potential target for diagnostic and therapeutic interventions."
Is catecholaminergic polymorphic ventricular tachycardia caused by mutation-linked defective conformational regulation of the ryanodine receptor?,"A single point mutation within the RyR2 sensitizes the channel to agonists and reduces the threshold of luminal [Ca(2+)] for activation, primarily mediated by defective interdomain interaction within the RyR2."
Do normoglycemic plasma glucose levels affect F-18 FDG uptake in the brain?,"Our results indicated that plasma glucose levels that are within the normoglycemic range have a small but systematic effect on F-18 FDG uptake in the brain (following an inverse relationship). Normalizing plasma glucose levels to a standard glucose concentration successfully reduced the intra-subject variability of SUV measures. Inter-subject variability, however, remained high suggesting that other factors have an influence as well."
Are left atrial phasic volumes modulated by the type rather than the extent of left ventricular hypertrophy?,"Patients with HCM appeared to have larger LA volumes, poorer LA function, and greater severity of diastolic dysfunction compared with those with HT having comparable LV mass. LA changes may be due to coexistent atrial myopathy associated with other pathophysiologic aspects of HCM, including outflow obstruction, mitral regurgitation, and myocardial fibrosis in HCM."
Is in vitro evaluation of novel antisense oligonucleotides predictive of in vivo exon skipping activity for Duchenne muscular dystrophy?,In vitro screening of different AOs within the same chemical class is a reliable method for predicting the in vivo exon skipping efficiency of AOs for DMD.
Does abscisic acid ameliorate experimental IBD by downregulating cellular adhesion molecule expression and suppressing immune cell infiltration?,We conclude that ABA ameliorates gut inflammation by modulating T cell distribution and adhesion molecule expression.
Are hEPACAM1 and 2 differentially regulated in canine mammary adenomas and carcinomas and its lymph node metastases?,"HEPACAM1 and 2 seem to be important for cell-cell adhesion of normal and neoplastic canine mammary cells. The loss of HEPACAM1 protein expression in adenomas but not in carcinomas questions its role as a tumour suppressor at late stages of malignant transformation and indicates that it might rather be involved in physiologic mammary cell adhesion and canine mammary tumour metastasis. Furthermore, it can be speculated, whether HEPACAM2 plays a different role in malignancy and metastasis of canine mammary tumours since its transcriptional levels are different in carcinomas and their lymph node metastases when compared to HEPACAM1."
Does initial experience of heroin use under a two-chained operant schedule influence drug-seeking behavior after one month of abstinence?,These observations suggest that an early experience of drug use is sufficient to maintain heroin-seeking behavior even after a one month abstinence.
Is metabolic crisis after traumatic brain injury associated with a novel microdialysis proteome?,Metabolic distress after TBI is associated with a differential proteome that indicates cellular destruction during the acute phase of illness. This suggests that metabolic distress has immediate cellular consequences after TBI.
Does inhibition of Aurora Kinase A enhance chemosensitivity of medulloblastoma cell lines?,"These data indicate that inhibition of Aurora Kinase A inhibits cell growth in medulloblastoma through inhibition of pro-proliferative signaling pathways Wnt, Myc, and RB. Additionally, combining Aurora Kinase A inhibition with other chemotherapeutic agents significantly lowers their IC(50), which make it a promising small molecule target for medulloblastoma therapy."
Are three-year changes in fitness and adiposity independently associated with cardiovascular risk factors among young Danish children?,Change in fitness and adiposity were independently associated with the development of cardiovascular risk factors among young children suggesting a need to increase CRF and prevent weight gain early during development to improve cardiovascular health.
Is vEGF-A165b cytoprotective and antiangiogenic in the retina?,The survival effects of VEGF-A(165)b signaling can protect the retina from ischemic damage. These results suggest that VEGF-A(165)b may be a useful therapeutic agent in ischemia-induced angiogenesis and a cytoprotective agent for retinal pigment epithelial cells.
Is enrollment in physical education associated with health-related behavior among high school students?,Findings suggest that higher levels of enrollment in PE classes could play a role in the promotion of health-related behaviors among high school students.
Do two additive mechanisms impair the differentiation of 'substrate-selective ' p38 inhibitors from classical p38 inhibitors in vitro?,"Our integrated mechanistic modeling and experimental validation provides an example of how systems biology approaches can be applied to drug discovery and provide a basis for decision-making with limited chemical matter. We find that, given our current understanding, it is unlikely that 'substrate-selective' inhibitors of p38 will work as originally intended when placed in the context of more complex cellular environments, largely due to a stoichiometric excess of MK2 relative to p38."
Is a novel thyroid stimulating immunoglobulin bioassay a functional indicator of activity and severity of Graves ' orbitopathy?,The novel Mc4/TSI is a functional indicator of GO activity and severity.
Does optical spectroscopy of the breast in premenopausal women reveal tissue variation with changes in age and parity?,"Optical spectroscopy may be useful to identify breast tissue at increased risk of cancer development and track changes over time, particularly in young women where exposure to radiation is of particular concern. Additional work is needed to confirm the observed breast tissue differences and to determine the specific tissue chromophore changes with age and parity."
Does docosahexaenoic acid withstand the Aβ ( 25-35 ) -induced neurotoxicity in SH-SY5Y cells?,DHA not only inhibits the in vitro fibrillation but also resists the Aβ(25-35)-induced toxicity in the neuronal cells. This might be the basis of the DHA-induced amelioration of Aβ-induced neurodegeneration and related cognitive deficits.
Do transcriptional profiles predict disease outcome in patients with cutaneous T-cell lymphoma?,"This work suggests that it may be possible to stratify CTCL patients into low-risk, intermediate-risk, and high-risk groups based on gene expression."
Does cheating explain selective differences at high and low relatedness in a social amoeba?,These results suggest that social competition and something beyond solitary growth differences occurs during the vegetative stage when amoebae eat bacteria and divide by binary fission. The high degree of repeatability of our results indicates that these effects are strong and points to the importance of new approaches to studying interactions in D. discoideum.
Is mDM2 SNP309 genotype associated with ferritin and LDH serum levels in children with stage 4 neuroblastoma?,The association between MDM2 SNP309 and both ferritin and LDH in patients with stage 4 disease confirms the prognostic role of this polymorphism. The results suggest that the MDM2 SNP309 genotype can impact on tumour responses to hypoxia and might play an important role in the alteration of energetic metabolism in NB cells.
"Is low mRNA expression of the apoptosis-related genes CASP3 , CASP8 , and FAS associated with low induction treatment response in childhood acute lymphoblastic leukemia ( ALL )?",These findings suggest an association between lower expression levels of the pro-apoptotic genes and a poor response to induction therapy at day 7 and prognosis in childhood ALL.
Does physical activity attenuate intermittent hypoxia-induced spatial learning deficits and oxidative stress?,"Behavioral modifications such as increased physical activity are associated with decreased susceptibility to IH-induced spatial task deficits and lead to reduced oxidative stress, possibly through improved preservation of insulin growth factor-1-Akt neuronal signaling. Considering the many advantages of PA, interventional strategies targeting behavioral modifications leading to increased PA should be pursued in patients with sleep-disordered breathing."
Does pre-operative ultrasound with a 12-15 MHz linear probe reliably differentiate between melanoma thicker and thinner than 1 mm?,Ultrasound examination with a 12-15 MHz linear transducer can reliably differentiate primary melanoma > 1 mm from those <or= 1 mm.
Is nPC1L1 inhibitor ezetimibe a reliable therapeutic agent for non-obese patients with nonalcoholic fatty liver disease?,We conclude that the cholesterol absorption inhibitor ezetimibe can suppress hepatic injury in non-obese patients with NAFLD and that ezetimibe may offer a novel treatment for NAFLD.
Is brownian diffusion of AMPA receptors sufficient to explain fast onset of LTP?,Fast accumulation of AMPA Receptors is consistent with experimentally observed fast onset of LTP expression.
Are susceptibility loci reported in genome-wide association studies associated with Crohn 's disease in Canadian children?,The identified susceptibility genes/loci for adult-onset CD also confer risk for paediatric-onset CD.
Do sleep and circadian rhythm alterations correlate with depression and cognitive impairment in Huntington 's disease?,"HD is primarily accompanied by night-time sleep disturbances and a delayed sleep phase, which are associated with depression and lower cognitive as well as functional performance."
Does ileal interposition surgery improve glucose and lipid metabolism and delays diabetes onset in the UCD-T2DM rat?,"IT surgery delays the onset of diabetes in UCD-T2DM rats which may be related to increased nutrient-stimulated secretion of GLP-1(7-36) and PYY and improvements of insulin sensitivity, beta-cell function, and lipid metabolism."
Do human mammary epithelial cells exhibit a bimodal correlated random walk pattern?,"Because of the presence of non-uniform turn angle distribution of move step-lengths within a flight and two different types of flights, we propose that the epithelial random walk is a BCRW comprising of two alternating modes with varying degree of correlations, rather than a simple persistent random walk. A BCRW model rather than a simple persistent random walk correctly matches the super-diffusivity in the cell migration paths as indicated by simulations based on the BCRW model."
Does sputum induction with hypertonic saline reduce fractional exhaled nitric oxide in chronic smokers and non-smokers?,"Our data extend previous findings in asthmatics and healthy controls to asymptomatic chronic smokers: 1. FeNO measurements are reproducible in both smokers and non-smokers; 2. baseline FeNO levels in chronic smokers are lower than in non-smokers and 3. sputum induction by hypertonic saline reduces FeNO levels in both study groups, without affecting lung function."
Do adrenomedullin plasma levels predict left ventricular reverse remodeling after cardiac resynchronization therapy?,Significantly higher ADM levels indicate a subgroup of patients in whom reverse remodeling can be observed after CRT. Patients with lower ADM basal values before CRT could represent a group in whom the dysfunction is so advanced that no improvement can be expected.
Are neurogenic effects of fluoxetine attenuated in p11 ( S100A10 ) knockout mice?,P11 is abundantly expressed in hippocampal GABAergic interneurons. The p11 KO mice have increased levels of markers for immature neuronal cell survival and neurogenesis and an attenuated response to fluoxetine in measures of neurogenesis and in a neurogenesis-dependent behavioral test.
Are nailfold capillary abnormalities prevalent in sclerodermoid graft-versus-host disease and readily detected with dermatoscopy?,This study shows the identification of distinct nailfold capillaroscopy patterns in patients with Scl GVHD but it does not confer special risk for any other specific clinical symptoms of the disease.
Is on-treatment serum HBsAg level predictive of sustained off-treatment virologic response to telbivudine in HBeAg-positive chronic hepatitis B patients?,Serum HBsAg levels <2 log(10)IU/ml at treatment week 104 are highly predictive of SR to telbivudine at 2 years off-treatment. HBsAg decline rate at on-treatment weeks 24 and 52 from baseline were also more predictive of SR than HBV DNA decline rate.
Is cumulus cell gene expression associated with oocyte developmental quality and influenced by patient and treatment characteristics?,"The expression of ovulation related genes in CC is associated with patient and treatment characteristics, oocyte developmental potential and differs with the type of gonadotrophin used."
Is qRS duration associated with atrial fibrillation in patients with left ventricular dysfunction?,"In this large cohort of patients, QRSd was strongly associated with AF and therefore may predict the occurrence of this arrhythmia in patients with LV dysfunction. This association persisted after adjusting for disease severity, comorbid conditions, and the use of medications known to be protective against AF."
Is caudate atrophy on MRI a characteristic feature of FTLD-FUS?,"Caudate atrophy on MRI appears to be significantly greater in FTLD-FUS compared with FTLD-TDP and FTLD-TAU, suggesting that severe caudate atrophy may be a useful clinical feature to predict FTLD-FUS pathology."
Do knowledge and quality of life in female torture survivors?,Little is currently known about health-based interventions for the vulnerable population of female torture survivors. Public health nurses and other professionals who work with this population have a unique opportunity to influence behavior change and promote empowerment in this population. The techniques employed in this study can be used by public health nurses as a basis for designing women's health-based programmes at other torture treatment centres throughout the world.
Does informed consent document improvement increase patients ' comprehension in biomedical research?,We failed to show that improving IC document comprehension through a lexicosyntactic approach or by a working group leads to better comprehension.
Do genetic and environmental influences on internalizing psychopathology vary as a function of economic status?,"Findings support social causation by suggesting that low income contributes significantly to environmental variation in INT. Modest support was found for social selection, but should be extended using longitudinal designs. Effective interventions for internalizing psychopathology may differ depending on income."
Do basal core promoters control the equilibrium between negative cofactor 2 and preinitiation complexes in human cells?,TFIIB and NC2 are global players that occupy active genes. Preinitiation complex formation is independent of core elements at the majority of genes. TATA and TATA-like elements dictate TFIIB occupancy at a subset of genes. Biochemical data support a model in which preinitiation complex but not TBP-NC2 complex formation is regulated.
Do winter active bumblebees ( Bombus terrestris ) achieve high foraging rates in urban Britain?,"B. terrestris in the UK are now able to utilise a rich winter foraging resource in urban parks and gardens that might at present still be under-exploited, opening up the possibility of further changes in pollinator phenology."
